created_at,id_str,full_text,lang,location
2023-11-01,1719858130946040221,ganjar senyum ganjar adem banget lihat,in,
2023-11-01,1719858140659995083,rahajeng rawuh bal antusias warga bal sambut ganjar ganjar calon presiden dukung warga bal,in,Indonesia
2023-11-01,1719858164399808947,doa iring langkah ganjar mahfud,in,
2023-11-01,1719858170364104999,acara pokoke ganjar om nte tertawa,in,"DKI Jakarta, Indonesia"
2023-11-01,1719858179360854423,orang pilih orang dukung ganjar pranowo,in,
2023-11-01,1719858179448918491,lek niat bal2an dadi o tim sukses e ganjar cok,in,"Malang, ID"
2023-11-01,1719858213737431431,gibran kena senggol ganjar jawa kandang banteng,in,Jakarta Capital Region
2023-11-01,1719858222029504868,ganjar calon presiden cinta masyarakat kenal penjuru nusantara rahajeng rawuh bal ganjar,in,
2023-11-01,1719858225049416093,rekam jejak bukti ganjar pranowo prof mahfud legislatif eksekutif yudikatif rahajeng rawuh bal,in,Indonesia
2023-11-01,1719858257806979363,rahajeng rawuh bal ganjar bal sambut senyum sederhana budaya moga bal bawa dame hati,in,
2023-11-01,1719858309661159883,rawan promo deklarasi dukung cabut baliho2 partai demokrasi indonesia juang ganjar mahfud md sat pol pulang pergi indonesia,in,"Bekasi Barat, Indonesia"
2023-11-01,1719858310990725326,rakyat bal dukung ganjar rahajeng rawuh bal,in,"Purwokerto Utara, Indonesia"
2023-11-01,1719858312903266398,doa hikmah pasang ganjar mahfud juara,in,lndonesia 
2023-11-01,1719858363142672850,ganjar keren butuh sosok pimpin ganjar tegak lurus ganjar,in,indonesia 
2023-11-01,1719858381878595897,jaya ganjar pranowo moga berkah,in,
2023-11-01,1719858383673831768,ayo ganjar semangat,in,
2023-11-01,1719858391894593586,jik pikir kecewa haabisny fokus dukung ganjar mahfud,in,
2023-11-01,1719858415760216394,ganjar sih orang orang mas bowo dukung program program ganjar mantap,in,
2023-11-01,1719858439139303561,ganjar rahajeng rawuh bal sosok pimpin cinta bal masyarakat tunggu datang sambut bal ganjar,in,
2023-11-01,1719858484605501720,pasti kecewa yaqin pilih ganjar,in,Indonesia
2023-11-01,1719858521007857677,hadir ganjar suasana politik penuh huru hara bal spirit sunti energi ganjar sapa jumpa bagi cerita rakyat rahajeng rawuh bal,in,
2023-11-01,1719858121236222325,ganjar baik ganjar motivasi kembang dengar aspirasi rakyat,in, Indonesia
2023-11-01,1719858112130421202,moga pilih ganjar mahfud pimpin negeri sembuh luka demokrasi,in,
